"formula","C","H","O","N","S","P","Class","Class_detailed","AImod","NOSC","HC","OC","DBE_AI","DBE","DBE_C"
"C8H11O5N1",8,11,5,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.1111,0.25,1.38,0.62,-2,4,-0.25
"C9H15O4N1",9,15,4,1,0,0,"aliphatic","aliphatic+N",0,-0.4444,1.67,0.44,-2,3,-0.2222
"C10H19O3N1",10,19,3,1,0,0,"aliphatic","aliphatic+N",-0.0667,-1,1.9,0.3,-2,2,-0.2
"C6H2O6S1",6,2,6,0,1,0,"condensed aromatic","condensed aromatic",1,2,0.33,1,-1,6,-0.1667
"C7H6O5S1",7,6,5,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.4286,0.8571,0.86,0.71,-1,5,-0.1429
"C8H10O4S1",8,10,4,0,1,0,"unsaturated/lignin","unsaturated/lignin",0.2,0,1.25,0.5,-1,4,-0.125
"C8H10O6",8,10,6,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.2,0.25,1.25,0.75,-2,4,-0.25
"C12H10O3",12,10,3,0,0,0,"aromatic","aromatic",0.619,-0.3333,0.83,0.25,5,8,0.4167
"C9H14O3S1",9,14,3,0,1,0,"aliphatic","aliphatic",0.0769,-0.6667,1.56,0.33,-1,3,-0.1111
"C9H14O5",9,14,5,0,0,0,"aliphatic","aliphatic",0.0769,-0.4444,1.56,0.56,-2,3,-0.2222
"C10H18O4",10,18,4,0,0,0,"aliphatic","aliphatic",0,-1,1.8,0.4,-2,2,-0.2
"C11H22O3",11,22,3,0,0,0,"aliphatic","lipid",-0.0526,-1.4545,2,0.27,-2,1,-0.1818
"C6H5O5N1S1",6,5,5,1,1,0,"unsaturated/lignin","unsaturated/lignin",0.3333,1.6667,0.83,0.83,-2,5,-0.3333
"C11H9O3N1",11,9,3,1,0,0,"aromatic","aromatic",0.6471,0,0.82,0.27,4,8,0.3636
"C8H13O5N1",8,13,5,1,0,0,"aliphatic","aliphatic+N",-0.1111,0,1.62,0.62,-3,3,-0.375
"C9H17O4N1",9,17,4,1,0,0,"aliphatic","aliphatic+N",-0.1667,-0.6667,1.89,0.44,-3,2,-0.3333
"C9H4O2N2S1",9,4,2,2,1,0,"condensed aromatic","condensed aromatic",1,0.8889,0.44,0.22,4,9,0.4444
"C11H8O4",11,8,4,0,0,0,"condensed aromatic","condensed aromatic",0.6667,0,0.73,0.36,4,8,0.3636
"C8H12O4S1",8,12,4,0,1,0,"aliphatic","aliphatic",0,-0.25,1.5,0.5,-2,3,-0.25
"C10H8O3N2",10,8,3,2,0,0,"condensed aromatic","condensed aromatic",0.6923,0.4,0.8,0.3,3,8,0.3
"C8H12O6",8,12,6,0,0,0,"aliphatic","aliphatic",0,0,1.5,0.75,-3,3,-0.375
"C12H12O3",12,12,3,0,0,0,"aromatic","aromatic",0.5238,-0.5,1,0.25,4,7,0.3333
"C9H16O5",9,16,5,0,0,0,"aliphatic","aliphatic",-0.0769,-0.6667,1.78,0.56,-3,2,-0.3333
"C8H16O4N2",8,16,4,2,0,0,"aliphatic","lipid",-0.5,-0.25,2,0.5,-4,2,-0.5
"C13H16O2",13,16,2,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.4167,-0.9231,1.23,0.15,4,6,0.3077
"C10H20O4",10,20,4,0,0,0,"aliphatic","lipid",-0.125,-1.2,2,0.4,-3,1,-0.3
"C10H7O4N1",10,7,4,1,0,0,"condensed aromatic","condensed aromatic",0.7143,0.4,0.7,0.4,3,8,0.3
"C7H11O6N1",7,11,6,1,0,0,"aliphatic","aliphatic+N",-0.3333,0.5714,1.57,0.86,-4,3,-0.5714
"C11H11O3N1",11,11,3,1,0,0,"aromatic","aromatic",0.5294,-0.1818,1,0.27,3,7,0.2727
"C9H19O4N1",9,19,4,1,0,0,"aliphatic","lipid",-0.3333,-0.8889,2.11,0.44,-4,1,-0.4444
"C10H6O5",10,6,5,0,0,0,"condensed aromatic","condensed aromatic",0.7333,0.4,0.6,0.5,3,8,0.3
"C9H6O4N2",9,6,4,2,0,0,"condensed aromatic","condensed aromatic",0.8,0.8889,0.67,0.44,2,8,0.2222
"C7H10O7",7,10,7,0,0,0,"unsaturated/lignin","unsaturated/lignin",-0.1429,0.5714,1.43,1,-4,3,-0.5714
"C11H10O4",11,10,4,0,0,0,"aromatic","aromatic",0.5556,-0.1818,0.91,0.36,3,7,0.2727
"C8H14O4S1",8,14,4,0,1,0,"aliphatic","aliphatic",-0.2,-0.5,1.75,0.5,-3,2,-0.375
"C10H10O3N2",10,10,3,2,0,0,"aromatic","aromatic",0.5385,0.2,1,0.3,2,7,0.2
"C8H14O6",8,14,6,0,0,0,"aliphatic","aliphatic",-0.2,-0.25,1.75,0.75,-4,2,-0.5
"C12H14O3",12,14,3,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.4286,-0.6667,1.17,0.25,3,6,0.25
"C9H18O5",9,18,5,0,0,0,"aliphatic","lipid",-0.2308,-0.8889,2,0.56,-4,1,-0.4444
"C13H18O2",13,18,2,0,0,0,"unsaturated/lignin","unsaturated/lignin",0.3333,-1.0769,1.38,0.15,3,5,0.2308
"C14H22O1",14,22,1,0,0,0,"aliphatic","aliphatic",0.2593,-1.4286,1.57,0.07,3,4,0.2143
"C9H5O5N1",9,5,5,1,0,0,"condensed aromatic","condensed aromatic",0.8182,0.8889,0.56,0.56,2,8,0.2222
"C10H9O4N1",10,9,4,1,0,0,"aromatic","aromatic",0.5714,0.2,0.9,0.4,2,7,0.2
"C11H13O3N1",11,13,3,1,0,0,"unsaturated/lignin","unsaturated/lignin",0.4118,-0.3636,1.18,0.27,2,6,0.1818
