formula,region,site,transect,horizon
C12H10O3,WLE,OWC,wc,A
C11H9O3N1,WLE,OWC,wc,A
C11H8O4,WLE,OWC,upland,A
C11H8O4,WLE,OWC,wte,A
C11H8O4,WLE,OWC,wc,A
C10H7O4N1,WLE,OWC,wte,A
C10H7O4N1,WLE,OWC,wc,A
C11H11O3N1,WLE,OWC,wc,A
C10H6O5,WLE,OWC,upland,A
C10H6O5,WLE,OWC,transition,A
C10H6O5,WLE,OWC,wte,A
C10H6O5,WLE,OWC,wc,A
C9H6O4N2,WLE,OWC,wc,A
C13H18O2,WLE,OWC,wc,A
C9H5O5N1,WLE,OWC,wc,A
C10H9O4N1,WLE,OWC,wte,A
C10H9O4N1,WLE,OWC,wc,A
C11H13O3N1,WLE,OWC,wc,A
C9H4O6,WLE,OWC,upland,A
C9H4O6,WLE,OWC,transition,A
C9H4O6,WLE,OWC,wte,A
C9H7O5N1,WLE,OWC,wte,A
C9H7O5N1,WLE,OWC,wc,A
C10H11O4N1,WLE,OWC,wte,A
C10H11O4N1,WLE,OWC,wc,A
C9H10O4N2,WLE,OWC,wc,A
C9H11O5N1,WLE,OWC,wte,A
C9H11O5N1,WLE,OWC,wc,A
C10H15O4N1,WLE,OWC,wc,A
C8H6O7,WLE,OWC,upland,A
C8H6O7,WLE,OWC,transition,A
C8H6O7,WLE,OWC,wte,A
C8H8O7,WLE,OWC,upland,A
C8H8O7,WLE,OWC,transition,A
C8H8O7,WLE,OWC,wte,A
C12H8O4,WLE,OWC,wc,A
C13H12O3,WLE,OWC,wc,A
C11H6O5,WLE,OWC,upland,A
C11H6O5,WLE,OWC,transition,A
C11H6O5,WLE,OWC,wte,A
C11H6O5,WLE,OWC,wc,A
C12H10O4,WLE,OWC,upland,A
C12H10O4,WLE,OWC,transition,A
C12H10O4,WLE,OWC,wte,A
C12H10O4,WLE,OWC,wc,A
C13H14O3,WLE,OWC,wte,A
C13H14O3,WLE,OWC,wc,A
C11H9O4N1,WLE,OWC,wte,A
C11H9O4N1,WLE,OWC,wc,A
C11H8O5,WLE,OWC,upland,A
C11H8O5,WLE,OWC,transition,A
C11H8O5,WLE,OWC,wte,A
C11H8O5,WLE,OWC,wc,A
C10H8O4N2,WLE,OWC,wte,A
C10H8O4N2,WLE,OWC,wc,A
C14H20O2,WLE,OWC,wc,A
C10H7O5N1,WLE,OWC,wte,A
C10H7O5N1,WLE,OWC,wc,A
C11H11O4N1,WLE,OWC,wte,A
C11H11O4N1,WLE,OWC,wc,A
C10H6O6,WLE,OWC,upland,A
C10H6O6,WLE,OWC,transition,A
C10H6O6,WLE,OWC,wte,A
C10H6O6,WLE,OWC,wc,A
C9H6O5N2,WLE,OWC,wc,A
C10H10O4N2,WLE,OWC,wte,A
C10H10O4N2,WLE,OWC,wc,A
C10H9O5N1,WLE,OWC,upland,A
C10H9O5N1,WLE,OWC,transition,A
C10H9O5N1,WLE,OWC,wte,A
C10H9O5N1,WLE,OWC,wc,A
C10H8O4S1,WLE,OWC,wc,A
C10H12O4N2,WLE,OWC,wc,A
C9H7O6N1,WLE,OWC,wc,A
C10H10O4S1,WLE,OWC,wc,A
C9H10O5N2,WLE,OWC,wc,A
C10H14O4N2,WLE,OWC,wc,A
C9H9O6N1,WLE,OWC,wte,A
C9H9O6N1,WLE,OWC,wc,A
C9H8O7,WLE,OWC,upland,A
C9H8O7,WLE,OWC,transition,A
C9H8O7,WLE,OWC,wte,A
C9H8O7,WLE,OWC,wc,A
C12H7O4N1,WLE,OWC,wc,A
C12H6O5,WLE,OWC,wte,A
C12H6O5,WLE,OWC,wc,A
C9H10O5S1,WLE,OWC,wc,A
C13H10O4,WLE,OWC,transition,A
C13H10O4,WLE,OWC,wte,A
C13H10O4,WLE,OWC,wc,A
C14H14O3,WLE,OWC,wc,A
C12H9O4N1,WLE,OWC,wte,A
C12H9O4N1,WLE,OWC,wc,A
C12H8O5,WLE,OWC,upland,A
C12H8O5,WLE,OWC,transition,A
C12H8O5,WLE,OWC,wte,A
C12H8O5,WLE,OWC,wc,A
C11H8O4N2,WLE,OWC,wte,A
C11H8O4N2,WLE,OWC,wc,A
C14H16O3,WLE,OWC,upland,A
C14H16O3,WLE,OWC,transition,A
C14H16O3,WLE,OWC,wte,A
C14H16O3,WLE,OWC,wc,A
