formula,region,site,transect,horizon
C11H7O5N1,WLE,OWC,transition,A
C11H7O5N1,WLE,OWC,wte,A
C11H7O5N1,WLE,OWC,wc,A
C12H11O4N1,WLE,OWC,wte,A
C12H11O4N1,WLE,OWC,wc,A
C11H6O6,WLE,OWC,upland,A
C11H6O6,WLE,OWC,transition,A
C11H6O6,WLE,OWC,wte,A
C11H6O6,WLE,OWC,wc,A
C11H6O6,WLE,OWC,transition,B
C9H14O5S1,WLE,OWC,wc,A
C11H10O4N2,WLE,OWC,wte,A
C11H10O4N2,WLE,OWC,wc,A
C11H9O5N1,WLE,OWC,transition,A
C11H9O5N1,WLE,OWC,wte,A
C11H9O5N1,WLE,OWC,wc,A
C12H13O4N1,WLE,OWC,wte,A
C12H13O4N1,WLE,OWC,wc,A
C10H8O5N2,WLE,OWC,wte,A
C10H8O5N2,WLE,OWC,wc,A
C11H12O4N2,WLE,OWC,wte,A
C11H12O4N2,WLE,OWC,wc,A
C10H7O4N1S1,WLE,OWC,wc,A
C10H7O6N1,WLE,OWC,upland,A
C10H7O6N1,WLE,OWC,transition,A
C10H7O6N1,WLE,OWC,wte,A
C10H7O6N1,WLE,OWC,wc,A
C11H11O5N1,WLE,OWC,upland,A
C11H11O5N1,WLE,OWC,transition,A
C11H11O5N1,WLE,OWC,wte,A
C11H11O5N1,WLE,OWC,wc,A
C10H6O5S1,WLE,OWC,wc,A
C10H6O7,WLE,OWC,upland,A
C10H6O7,WLE,OWC,transition,A
C10H6O7,WLE,OWC,wte,A
C10H6O7,WLE,OWC,wc,A
C11H10O4S1,WLE,OWC,wc,A
C10H10O5N2,WLE,OWC,wte,A
C10H10O5N2,WLE,OWC,wc,A
C11H14O4N2,WLE,OWC,wc,A
C9H5O5N1S1,WLE,OWC,wc,A
C10H9O6N1,WLE,OWC,upland,A
C10H9O6N1,WLE,OWC,transition,A
C10H9O6N1,WLE,OWC,wte,A
C10H9O6N1,WLE,OWC,wc,A
C12H17O4N1,WLE,OWC,wc,A
C10H8O5S1,WLE,OWC,wc,A
C11H12O4S1,WLE,OWC,wc,A
C9H7O5N1S1,WLE,OWC,wc,A
C13H7O4N1,WLE,OWC,wc,A
C10H11O6N1,WLE,OWC,upland,A
C10H11O6N1,WLE,OWC,transition,A
C10H11O6N1,WLE,OWC,wte,A
C10H11O6N1,WLE,OWC,wc,A
C10H10O5S1,WLE,OWC,wc,A
C8H5O8N1,WLE,OWC,wte,A
C13H9O4N1,WLE,OWC,wc,A
C9H8O8,WLE,OWC,wte,A
C13H8O5,WLE,OWC,wte,A
C13H8O5,WLE,OWC,wc,A
C12H8O4N2,WLE,OWC,wte,A
C14H12O4,WLE,OWC,wte,A
C14H12O4,WLE,OWC,wc,A
C12H7O5N1,WLE,OWC,wte,A
C12H7O5N1,WLE,OWC,wc,A
C13H11O4N1,WLE,OWC,wte,A
C13H11O4N1,WLE,OWC,wc,A
C12H6O6,WLE,OWC,transition,A
C12H6O6,WLE,OWC,wte,A
C12H6O6,WLE,OWC,wc,A
C13H10O5,WLE,OWC,upland,A
C13H10O5,WLE,OWC,transition,A
C13H10O5,WLE,OWC,wte,A
C13H10O5,WLE,OWC,wc,A
C12H10O4N2,WLE,OWC,wc,A
C15H18O3,WLE,OWC,wc,A
C12H9O5N1,WLE,OWC,transition,A
C12H9O5N1,WLE,OWC,wte,A
C12H9O5N1,WLE,OWC,wc,A
C13H13O4N1,WLE,OWC,wte,A
C13H13O4N1,WLE,OWC,wc,A
C12H8O6,WLE,OWC,upland,A
C12H8O6,WLE,OWC,transition,A
C12H8O6,WLE,OWC,wte,A
C12H8O6,WLE,OWC,wc,A
C12H8O6,WLE,OWC,transition,B
C9H12O6S1,WLE,OWC,wc,A
C11H8O5N2,WLE,OWC,transition,A
C11H8O5N2,WLE,OWC,wte,A
C11H8O5N2,WLE,OWC,wc,A
C10H16O5S1,WLE,OWC,wc,A
C12H12O4N2,WLE,OWC,wte,A
C12H12O4N2,WLE,OWC,wc,A
C11H7O6N1,WLE,OWC,upland,A
C11H7O6N1,WLE,OWC,transition,A
C11H7O6N1,WLE,OWC,wte,A
C11H7O6N1,WLE,OWC,wc,A
C12H11O5N1,WLE,OWC,upland,A
C12H11O5N1,WLE,OWC,transition,A
C12H11O5N1,WLE,OWC,wte,A
C12H11O5N1,WLE,OWC,wc,A
C13H15O4N1,WLE,OWC,wte,A
C13H15O4N1,WLE,OWC,wc,A
C11H6O7,WLE,OWC,upland,A
C11H6O7,WLE,OWC,transition,A
C11H6O7,WLE,OWC,wte,A
C11H6O7,WLE,OWC,wc,A
C10H6O6N2,WLE,OWC,wte,A
C10H6O6N2,WLE,OWC,wc,A
C9H14O6S1,WLE,OWC,wc,A
C11H10O5N2,WLE,OWC,wte,A
C11H10O5N2,WLE,OWC,wc,A
C10H18O5S1,WLE,OWC,wc,A
C12H14O4N2,WLE,OWC,wc,A
C11H9O6N1,WLE,OWC,upland,A
C11H9O6N1,WLE,OWC,transition,A
C11H9O6N1,WLE,OWC,wte,A
C11H9O6N1,WLE,OWC,wc,A
C12H13O5N1,WLE,OWC,upland,A
C12H13O5N1,WLE,OWC,transition,A
C12H13O5N1,WLE,OWC,wte,A
C12H13O5N1,WLE,OWC,wc,A
C13H17O4N1,WLE,OWC,wc,A
C10H4O8,WLE,OWC,upland,A
C11H8O7,WLE,OWC,upland,A
C11H8O7,WLE,OWC,transition,A
C11H8O7,WLE,OWC,wte,A
C11H8O7,WLE,OWC,wc,A
C10H8O6N2,WLE,OWC,wc,A
C11H12O5N2,WLE,OWC,wte,A
C11H12O5N2,WLE,OWC,wc,A
C12H16O4N2,WLE,OWC,wc,A
C10H7O5N1S1,WLE,OWC,wc,A
C11H11O6N1,WLE,OWC,upland,A
C11H11O6N1,WLE,OWC,transition,A
C11H11O6N1,WLE,OWC,wte,A
C11H11O6N1,WLE,OWC,wc,A
C10H6O6S1,WLE,OWC,wc,A
C10H6O8,WLE,OWC,upland,A
C10H6O8,WLE,OWC,transition,A
C10H6O8,WLE,OWC,wte,A
C11H10O5S1,WLE,OWC,wc,A
C10H10O6N2,WLE,OWC,wc,A
C12H14O4S1,WLE,OWC,wc,A
C10H9O5N1S1,WLE,OWC,wc,A
C10H9O7N1,WLE,OWC,wte,A
C10H9O7N1,WLE,OWC,wc,A
C11H13O6N1,WLE,OWC,upland,A
C11H13O6N1,WLE,OWC,transition,A
C11H13O6N1,WLE,OWC,wte,A
C11H13O6N1,WLE,OWC,wc,A
C10H8O6S1,WLE,OWC,wc,A
C10H8O8,WLE,OWC,upland,A
C10H8O8,WLE,OWC,transition,A
C10H8O8,WLE,OWC,wte,A
C10H8O8,WLE,OWC,wc,A
C14H8O5,WLE,OWC,wc,A
C13H8O4N2,WLE,OWC,wc,A
C10H12O6N2,WLE,OWC,wc,A
C13H7O5N1,WLE,OWC,wte,A
C13H7O5N1,WLE,OWC,wc,A
C10H11O7N1,WLE,OWC,wc,A
C14H11O4N1,WLE,OWC,wte,A
C14H11O4N1,WLE,OWC,wc,A
C9H6O9,WLE,OWC,upland,A
C9H6O9,WLE,OWC,transition,A
C9H6O9,WLE,OWC,wte,A
C13H6O6,WLE,OWC,transition,A
C13H6O6,WLE,OWC,wte,A
C10H10O6S1,WLE,OWC,wc,A
C12H6O5N2,WLE,OWC,wte,A
C12H6O5N2,WLE,OWC,wc,A
C10H10O8,WLE,OWC,upland,A
C10H10O8,WLE,OWC,transition,A
C10H10O8,WLE,OWC,wte,A
C10H10O8,WLE,OWC,wc,A
C14H10O5,WLE,OWC,upland,A
C14H10O5,WLE,OWC,transition,A
C14H10O5,WLE,OWC,wte,A
C14H10O5,WLE,OWC,wc,A
C13H10O4N2,WLE,OWC,wc,A
C13H9O5N1,WLE,OWC,wte,A
C13H9O5N1,WLE,OWC,wc,A
C14H13O4N1,WLE,OWC,wc,A
C13H8O6,WLE,OWC,upland,A
C13H8O6,WLE,OWC,transition,A
C13H8O6,WLE,OWC,wte,A
C13H8O6,WLE,OWC,wc,A
C12H8O5N2,WLE,OWC,wte,A
C12H8O5N2,WLE,OWC,wc,A
C13H12O4N2,WLE,OWC,wte,A
C13H12O4N2,WLE,OWC,wc,A
C15H16O4,WLE,OWC,upland,A
C15H16O4,WLE,OWC,transition,A
C15H16O4,WLE,OWC,wte,A
C15H16O4,WLE,OWC,wc,A
C12H7O6N1,WLE,OWC,wte,A
C12H7O6N1,WLE,OWC,wc,A
C13H11O5N1,WLE,OWC,upland,A
C13H11O5N1,WLE,OWC,transition,A
C13H11O5N1,WLE,OWC,wte,A
C13H11O5N1,WLE,OWC,wc,A
C14H15O4N1,WLE,OWC,wc,A
C12H6O7,WLE,OWC,upland,A
C12H6O7,WLE,OWC,transition,A
C12H6O7,WLE,OWC,wte,A
C12H6O7,WLE,OWC,wc,A
C13H10O6,WLE,OWC,upland,A
C13H10O6,WLE,OWC,transition,A
C13H10O6,WLE,OWC,wte,A
C13H10O6,WLE,OWC,wc,A
C10H14O6S1,WLE,OWC,wc,A
C12H10O5N2,WLE,OWC,wte,A
C12H10O5N2,WLE,OWC,wc,A
C11H18O5S1,WLE,OWC,wc,A
C13H14O4N2,WLE,OWC,wte,A
C13H14O4N2,WLE,OWC,wc,A
C16H22O3,WLE,OWC,wc,A
C12H9O6N1,WLE,OWC,upland,A
C12H9O6N1,WLE,OWC,transition,A
C12H9O6N1,WLE,OWC,wte,A
C12H9O6N1,WLE,OWC,wc,A
C13H13O5N1,WLE,OWC,upland,A
C13H13O5N1,WLE,OWC,transition,A
C13H13O5N1,WLE,OWC,wte,A
C13H13O5N1,WLE,OWC,wc,A
C14H17O4N1,WLE,OWC,wc,A
C12H8O7,WLE,OWC,upland,A
C12H8O7,WLE,OWC,transition,A
C12H8O7,WLE,OWC,wte,A
C12H8O7,WLE,OWC,wc,A
C12H8O7,WLE,OWC,transition,B
C11H8O6N2,WLE,OWC,wte,A
C11H8O6N2,WLE,OWC,wc,A
C10H16O6S1,WLE,OWC,wc,A
C12H12O5N2,WLE,OWC,transition,A
C12H12O5N2,WLE,OWC,wte,A
C12H12O5N2,WLE,OWC,wc,A
C11H20O5S1,WLE,OWC,wc,A
C13H16O4N2,WLE,OWC,wc,A
C11H7O7N1,WLE,OWC,wte,A
C11H7O7N1,WLE,OWC,wc,A
C12H11O6N1,WLE,OWC,upland,A
C12H11O6N1,WLE,OWC,transition,A
C12H11O6N1,WLE,OWC,wte,A
C12H11O6N1,WLE,OWC,wc,A
C11H23O6N1,WLE,OWC,wc,A
C11H6O8,WLE,OWC,upland,A
C11H6O8,WLE,OWC,transition,A
C11H6O8,WLE,OWC,wte,A
C11H6O8,WLE,OWC,wc,A
C12H10O5S1,WLE,OWC,wc,A
C12H10O7,WLE,OWC,upland,A
C12H10O7,WLE,OWC,transition,A
C12H10O7,WLE,OWC,wte,A
C12H10O7,WLE,OWC,wc,A
C12H10O7,WLE,OWC,transition,B
C11H10O6N2,WLE,OWC,wte,A
C11H10O6N2,WLE,OWC,wc,A
C12H14O5N2,WLE,OWC,wte,A
C12H14O5N2,WLE,OWC,wc,A
C11H9O5N1S1,WLE,OWC,wc,A
C11H9O7N1,WLE,OWC,upland,A
C11H9O7N1,WLE,OWC,transition,A
C11H9O7N1,WLE,OWC,wte,A
C11H9O7N1,WLE,OWC,wc,A
C12H13O6N1,WLE,OWC,upland,A
C12H13O6N1,WLE,OWC,transition,A
C12H13O6N1,WLE,OWC,wte,A
C12H13O6N1,WLE,OWC,wc,A
C9H17O6N1S1,WLE,OWC,wc,A
C13H17O5N1,WLE,OWC,transition,A
C13H17O5N1,WLE,OWC,wte,A
C13H17O5N1,WLE,OWC,wc,A
C11H8O6S1,WLE,OWC,wc,A
C11H8O8,WLE,OWC,upland,A
C11H8O8,WLE,OWC,transition,A
C11H8O8,WLE,OWC,wte,A
C11H8O8,WLE,OWC,wc,A
C11H8O8,WLE,OWC,transition,B
C15H8O5,WLE,OWC,wc,A
C12H12O5S1,WLE,OWC,wc,A
C11H12O6N2,WLE,OWC,wte,A
C11H12O6N2,WLE,OWC,wc,A
C13H16O4S1,WLE,OWC,wc,A
C12H16O5N2,WLE,OWC,wte,A
C12H16O5N2,WLE,OWC,wc,A
C14H7O5N1,WLE,OWC,wc,A
C11H11O5N1S1,WLE,OWC,wc,A
C11H11O7N1,WLE,OWC,upland,A
C11H11O7N1,WLE,OWC,transition,A
C11H11O7N1,WLE,OWC,wte,A
C11H11O7N1,WLE,OWC,wc,A
C10H6O9,WLE,OWC,upland,A
C10H6O9,WLE,OWC,transition,A
C11H10O6S1,WLE,OWC,wc,A
C11H10O8,WLE,OWC,upland,A
C11H10O8,WLE,OWC,transition,A
C11H10O8,WLE,OWC,wte,A
C11H10O8,WLE,OWC,wc,A
C11H14O6N2,WLE,OWC,wc,A
C14H9O5N1,WLE,OWC,wte,A
C14H9O5N1,WLE,OWC,wc,A
C10H8O9,WLE,OWC,upland,A
C10H8O9,WLE,OWC,transition,A
C14H8O6,WLE,OWC,upland,A
C14H8O6,WLE,OWC,transition,A
C14H8O6,WLE,OWC,wte,A
C14H8O6,WLE,OWC,wc,A
C11H12O6S1,WLE,OWC,wc,A
C13H8O5N2,WLE,OWC,wte,A
C13H8O5N2,WLE,OWC,wc,A
C14H12O4N2,WLE,OWC,wc,A
C13H7O6N1,WLE,OWC,wte,A
C13H7O6N1,WLE,OWC,wc,A
C14H11O5N1,WLE,OWC,transition,A
C14H11O5N1,WLE,OWC,wte,A
C14H11O5N1,WLE,OWC,wc,A
C13H6O7,WLE,OWC,upland,A
C13H6O7,WLE,OWC,transition,A
C13H6O7,WLE,OWC,wte,A
C13H6O7,WLE,OWC,wc,A
C10H10O7S1,WLE,OWC,wc,A
C12H6O6N2,WLE,OWC,wte,A
C12H6O6N2,WLE,OWC,wc,A
C10H10O9,WLE,OWC,upland,A
C10H10O9,WLE,OWC,transition,A
C10H10O9,WLE,OWC,wte,A
C14H10O6,WLE,OWC,upland,A
C14H10O6,WLE,OWC,transition,A
C14H10O6,WLE,OWC,wte,A
C14H10O6,WLE,OWC,wc,A
C13H10O5N2,WLE,OWC,wte,A
C13H10O5N2,WLE,OWC,wc,A
C14H14O4N2,WLE,OWC,wte,A
C14H14O4N2,WLE,OWC,wc,A
C16H18O4,WLE,OWC,upland,A
C16H18O4,WLE,OWC,transition,A
C16H18O4,WLE,OWC,wte,A
C16H18O4,WLE,OWC,wc,A
C13H9O6N1,WLE,OWC,upland,A
C13H9O6N1,WLE,OWC,transition,A
C13H9O6N1,WLE,OWC,wte,A
C13H9O6N1,WLE,OWC,wc,A
C14H13O5N1,WLE,OWC,upland,A
C14H13O5N1,WLE,OWC,transition,A
C14H13O5N1,WLE,OWC,wte,A
C14H13O5N1,WLE,OWC,wc,A
C15H17O4N1,WLE,OWC,wc,A
C13H8O7,WLE,OWC,upland,A
C13H8O7,WLE,OWC,transition,A
C13H8O7,WLE,OWC,wte,A
C13H8O7,WLE,OWC,wc,A
C10H12O7S1,WLE,OWC,wc,A
C12H8O6N2,WLE,OWC,wte,A
C12H8O6N2,WLE,OWC,wc,A
C10H12O9,WLE,OWC,upland,A
C10H12O9,WLE,OWC,transition,A
C13H12O5N2,WLE,OWC,transition,A
C13H12O5N2,WLE,OWC,wte,A
C13H12O5N2,WLE,OWC,wc,A
C12H20O5S1,WLE,OWC,wc,A
C14H16O4N2,WLE,OWC,wc,A
C16H20O4,WLE,OWC,upland,A
C16H20O4,WLE,OWC,transition,A
C16H20O4,WLE,OWC,wte,A
C16H20O4,WLE,OWC,wc,A
C12H7O7N1,WLE,OWC,upland,A
C12H7O7N1,WLE,OWC,transition,A
C12H7O7N1,WLE,OWC,wte,A
C12H7O7N1,WLE,OWC,wc,A
C13H11O6N1,WLE,OWC,upland,A
C13H11O6N1,WLE,OWC,transition,A
C13H11O6N1,WLE,OWC,wte,A
C13H11O6N1,WLE,OWC,wc,A
C14H15O5N1,WLE,OWC,upland,A
C14H15O5N1,WLE,OWC,transition,A
C14H15O5N1,WLE,OWC,wte,A
C14H15O5N1,WLE,OWC,wc,A
C15H19O4N1,WLE,OWC,wc,A
C12H6O8,WLE,OWC,upland,A
C12H6O8,WLE,OWC,transition,A
C12H6O8,WLE,OWC,wte,A
C12H6O8,WLE,OWC,wc,A
C13H10O7,WLE,OWC,upland,A
C13H10O7,WLE,OWC,transition,A
C13H10O7,WLE,OWC,wte,A
C13H10O7,WLE,OWC,wc,A
C13H10O7,WLE,OWC,transition,B
C10H14O7S1,WLE,OWC,wc,A
C12H10O6N2,WLE,OWC,upland,A
C12H10O6N2,WLE,OWC,transition,A
C12H10O6N2,WLE,OWC,wte,A
C12H10O6N2,WLE,OWC,wc,A
C11H18O6S1,WLE,OWC,wc,A
C13H14O5N2,WLE,OWC,transition,A
C13H14O5N2,WLE,OWC,wte,A
C13H14O5N2,WLE,OWC,wc,A
C12H9O7N1,WLE,OWC,upland,A
C12H9O7N1,WLE,OWC,transition,A
C12H9O7N1,WLE,OWC,wte,A
C12H9O7N1,WLE,OWC,wc,A
C13H13O6N1,WLE,OWC,upland,A
C13H13O6N1,WLE,OWC,transition,A
C13H13O6N1,WLE,OWC,wte,A
C13H13O6N1,WLE,OWC,wc,A
C14H17O5N1,WLE,OWC,upland,A
C14H17O5N1,WLE,OWC,transition,A
C14H17O5N1,WLE,OWC,wte,A
C14H17O5N1,WLE,OWC,wc,A
C15H21O4N1,WLE,OWC,wc,A
C12H8O6S1,WLE,OWC,wc,A
C12H8O8,WLE,OWC,upland,A
C12H8O8,WLE,OWC,transition,A
C12H8O8,WLE,OWC,wte,A
C12H8O8,WLE,OWC,wc,A
C12H8O8,WLE,OWC,transition,B
C11H8O7N2,WLE,OWC,wc,A
C13H12O5S1,WLE,OWC,wc,A
C10H16O7S1,WLE,OWC,wc,A
C12H12O6N2,WLE,OWC,upland,A
C12H12O6N2,WLE,OWC,transition,A
C12H12O6N2,WLE,OWC,wte,A
C12H12O6N2,WLE,OWC,wc,A
C13H16O5N2,WLE,OWC,wte,A
C13H16O5N2,WLE,OWC,wc,A
C11H7O6N1S1,WLE,OWC,wc,A
C11H7O8N1,WLE,OWC,wc,A
C12H11O5N1S1,WLE,OWC,wc,A
C12H11O7N1,WLE,OWC,upland,A
C12H11O7N1,WLE,OWC,transition,A
C12H11O7N1,WLE,OWC,wte,A
C12H11O7N1,WLE,OWC,wc,A
C13H15O6N1,WLE,OWC,upland,A
C13H15O6N1,WLE,OWC,transition,A
C13H15O6N1,WLE,OWC,wte,A
C13H15O6N1,WLE,OWC,wc,A
C12H10O6S1,WLE,OWC,wc,A
C11H10O7N2,WLE,OWC,wte,A
C11H10O7N2,WLE,OWC,wc,A
C13H14O5S1,WLE,OWC,wc,A
C12H14O6N2,WLE,OWC,transition,A
C12H14O6N2,WLE,OWC,wte,A
C12H14O6N2,WLE,OWC,wc,A
C11H9O6N1S1,WLE,OWC,wc,A
C11H9O8N1,WLE,OWC,wte,A
C11H9O8N1,WLE,OWC,wc,A
C15H9O5N1,WLE,OWC,wte,A
C15H9O5N1,WLE,OWC,wc,A
C12H13O7N1,WLE,OWC,upland,A
C12H13O7N1,WLE,OWC,transition,A
C12H13O7N1,WLE,OWC,wte,A
C12H13O7N1,WLE,OWC,wc,A
C11H8O7S1,WLE,OWC,wc,A
C11H8O9,WLE,OWC,upland,A
C11H8O9,WLE,OWC,transition,A
C11H8O9,WLE,OWC,wte,A
C11H8O9,WLE,OWC,wc,A
C15H8O6,WLE,OWC,wte,A
C15H8O6,WLE,OWC,wc,A
C12H12O6S1,WLE,OWC,wte,A
C12H12O6S1,WLE,OWC,wc,A
C14H8O5N2,WLE,OWC,wc,A
C12H16O6N2,WLE,OWC,wte,A
C12H16O6N2,WLE,OWC,wc,A
C14H7O6N1,WLE,OWC,wte,A
C14H7O6N1,WLE,OWC,wc,A
C11H11O8N1,WLE,OWC,upland,A
C11H11O8N1,WLE,OWC,transition,A
C11H11O8N1,WLE,OWC,wte,A
C11H11O8N1,WLE,OWC,wc,A
C15H11O5N1,WLE,OWC,wte,A
C15H11O5N1,WLE,OWC,wc,A
C11H10O7S1,WLE,OWC,wc,A
C11H10O9,WLE,OWC,upland,A
C11H10O9,WLE,OWC,transition,A
C11H10O9,WLE,OWC,wte,A
C11H10O9,WLE,OWC,wc,A
C15H10O6,WLE,OWC,upland,A
C15H10O6,WLE,OWC,transition,A
C15H10O6,WLE,OWC,wte,A
C15H10O6,WLE,OWC,wc,A
C12H14O6S1,WLE,OWC,wte,A
C12H14O6S1,WLE,OWC,wc,A
C14H10O5N2,WLE,OWC,wte,A
C14H10O5N2,WLE,OWC,wc,A
C14H9O6N1,WLE,OWC,transition,A
C14H9O6N1,WLE,OWC,wte,A
C14H9O6N1,WLE,OWC,wc,A
C11H13O8N1,WLE,OWC,upland,A
C11H13O8N1,WLE,OWC,wte,A
C11H13O8N1,WLE,OWC,wc,A
C15H13O5N1,WLE,OWC,transition,A
C15H13O5N1,WLE,OWC,wte,A
C15H13O5N1,WLE,OWC,wc,A
C14H8O7,WLE,OWC,upland,A
C14H8O7,WLE,OWC,transition,A
C14H8O7,WLE,OWC,wte,A
C14H8O7,WLE,OWC,wc,A
C11H12O7S1,WLE,OWC,wc,A
C13H8O6N2,WLE,OWC,wte,A
C13H8O6N2,WLE,OWC,wc,A
C11H12O9,WLE,OWC,upland,A
C11H12O9,WLE,OWC,transition,A
C11H12O9,WLE,OWC,wte,A
C11H12O9,WLE,OWC,wc,A
C14H12O5N2,WLE,OWC,transition,A
C14H12O5N2,WLE,OWC,wte,A
C14H12O5N2,WLE,OWC,wc,A
C15H16O4N2,WLE,OWC,wc,A
C17H20O4,WLE,OWC,wte,A
C17H20O4,WLE,OWC,wc,A
C14H11O6N1,WLE,OWC,upland,A
C14H11O6N1,WLE,OWC,transition,A
C14H11O6N1,WLE,OWC,wte,A
C14H11O6N1,WLE,OWC,wc,A
C13H6O8,WLE,OWC,upland,A
C13H6O8,WLE,OWC,transition,A
C13H6O8,WLE,OWC,wte,A
C13H6O8,WLE,OWC,wc,A
C12H6O7N2,WLE,OWC,wte,A
C14H10O7,WLE,OWC,upland,A
C14H10O7,WLE,OWC,transition,A
C14H10O7,WLE,OWC,wte,A
C14H10O7,WLE,OWC,wc,A
C14H10O7,WLE,OWC,transition,B
C11H14O7S1,WLE,OWC,wte,A
C11H14O7S1,WLE,OWC,wc,A
C13H10O6N2,WLE,OWC,transition,A
C13H10O6N2,WLE,OWC,wte,A
C13H10O6N2,WLE,OWC,wc,A
C14H14O5N2,WLE,OWC,wte,A
C14H14O5N2,WLE,OWC,wc,A
C16H18O5,WLE,OWC,upland,A
C16H18O5,WLE,OWC,transition,A
C16H18O5,WLE,OWC,wte,A
C16H18O5,WLE,OWC,wc,A
C16H18O5,WLE,OWC,upland,B
C17H22O4,WLE,OWC,transition,A
C17H22O4,WLE,OWC,wte,A
C12H5O6N1S1,WLE,OWC,wc,A
C13H9O7N1,WLE,OWC,upland,A
C13H9O7N1,WLE,OWC,transition,A
C13H9O7N1,WLE,OWC,wte,A
C13H9O7N1,WLE,OWC,wc,A
C14H13O6N1,WLE,OWC,upland,A
C14H13O6N1,WLE,OWC,transition,A
C14H13O6N1,WLE,OWC,wte,A
C14H13O6N1,WLE,OWC,wc,A
C15H17O5N1,WLE,OWC,upland,A
C15H17O5N1,WLE,OWC,transition,A
C15H17O5N1,WLE,OWC,wte,A
